user,churn,age,deposits,purchases_partners,purchases,cc_recommended,cc_application_begin,reward_rate,housing_O,housing_R,payment_type_Bi-Weekly,payment_type_Monthly,payment_type_Semi-Monthly,payment_type_Weekly,zodiac_sign_Aquarius,zodiac_sign_Aries,zodiac_sign_Cancer,zodiac_sign_Capricorn,zodiac_sign_Gemini,zodiac_sign_Leo,zodiac_sign_Libra,zodiac_sign_Pisces,zodiac_sign_Sagittarius,zodiac_sign_Scorpio,zodiac_sign_Taurus,zodiac_sign_Virgo
21204,1,25.0,14,23,14,43,11,0.37,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46727,0,21.0,11,53,11,145,11,0.93,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
36721,1,30.0,1,48,1,224,1,1.77,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
989,0,26.0,0,0,0,57,5,0.97,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8508,0,33.0,0,116,0,205,7,2.03,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50946,1,30.0,0,0,0,16,1,0.47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65668,1,42.0,0,5,0,50,0,0.47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50130,1,34.0,0,0,0,27,1,0.67,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
55422,0,26.0,10,37,10,77,4,0.67,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
42253,0,30.0,13,89,12,257,44,2.17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41211,0,20.0,3,63,3,107,6,1.23,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
259,1,23.0,0,0,0,145,19,1.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3885,0,48.0,0,0,0,187,11,1.87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40538,1,35.0,0,0,0,36,15,2.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1011,0,46.0,7,57,7,168,24,1.1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38492,0,34.0,0,0,0,222,24,2.1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68171,0,23.0,0,1,0,0,0,0.06,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19878,0,28.0,17,82,17,233,18,1.93,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8255,0,43.0,3,81,3,225,4,1.97,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51642,0,44.0,0,4,0,0,0,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17451,0,33.0,0,140,0,303,20,2.23,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15712,1,60.0,0,0,0,44,18,0.63,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36751,0,39.0,24,69,24,218,29,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21558,1,35.0,0,0,0,66,2,0.63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38825,0,26.0,0,36,0,99,3,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7871,1,26.0,1,27,1,133,3,1.33,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
22333,0,24.0,3,82,3,177,13,1.87,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19314,1,38.0,0,0,0,17,1,0.4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14311,0,32.0,24,36,24,116,21,0.97,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24305,0,26.0,1,56,1,217,15,1.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42987,0,26.0,0,31,0,50,5,0.67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26916,0,33.0,0,32,0,60,2,0.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7011,1,35.0,0,102,0,136,8,1.17,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7686,1,27.0,0,10,0,91,7,0.8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14965,0,27.0,0,7,0,11,1,0.2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13910,0,24.0,2,50,2,100,4,1.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33946,0,21.0,0,7,0,11,1,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23701,0,25.0,2,22,2,15,2,0.27,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15150,1,26.0,10,14,10,40,1,0.4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8987,0,27.0,0,1,0,83,1,1.1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
41826,1,22.0,9,107,9,170,32,1.3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5250,0,52.0,0,40,0,70,6,0.93,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
27912,0,25.0,0,25,0,41,4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19625,0,32.0,0,23,0,50,1,0.37,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30614,0,30.0,41,27,41,207,4,1.87,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
18574,1,23.0,6,59,6,159,11,1.86,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26736,0,26.0,5,93,5,252,11,2.17,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49664,1,26.0,3,38,3,84,7,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21189,0,20.0,1,72,1,140,18,1.03,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43289,0,32.0,6,24,6,45,9,0.58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30329,1,45.0,0,0,0,0,0,0.1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6111,0,25.0,0,67,0,250,10,2.03,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35351,0,35.0,15,3,15,300,34,2.17,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11691,1,22.0,0,0,0,128,4,1.5699999999999998,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38853,0,28.0,59,63,55,255,21,2.23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
55927,0,20.0,0,5,0,4,0,0.27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
34187,1,30.0,0,34,0,59,2,0.63,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
45320,0,40.0,8,52,8,294,38,2.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30417,1,27.0,1,13,1,27,0,0.16999999999999998,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15592,1,36.0,0,0,0,235,9,2.13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
68714,0,36.0,0,8,0,16,0,0.13,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51721,1,30.0,2,62,2,99,16,0.63,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3801,0,42.0,2,47,2,280,24,1.87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50736,1,23.0,0,12,0,11,1,0.4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35050,1,39.0,8,76,8,163,12,0.53,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
3897,1,38.0,0,0,0,20,9,0.77,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34000,1,38.0,0,0,0,22,1,0.5700000000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4993,0,37.0,0,0,0,236,19,2.1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24606,0,20.0,0,47,0,148,11,1.13,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47068,1,56.0,1,37,1,81,5,0.53,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
13611,0,19.0,1,102,1,219,9,1.93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41052,1,39.0,2,1,2,82,9,0.47,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45396,0,39.0,0,7,0,36,9,0.73,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40888,0,24.0,0,35,0,57,2,0.83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14403,1,39.0,0,0,0,201,5,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22597,0,29.0,7,52,7,71,12,0.73,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42157,0,21.0,0,0,0,54,5,0.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
31150,1,32.0,0,0,0,134,4,1.37,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17918,1,41.0,0,0,0,55,9,0.8,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20243,1,42.0,21,31,21,60,15,0.8,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
42283,0,29.0,0,0,0,180,16,2.27,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
32820,1,39.0,12,8,12,147,24,1.47,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
725,0,40.0,3,148,3,269,17,2.13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46856,0,22.0,6,198,6,301,61,2.17,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61439,0,21.0,0,5,0,0,0,0.1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27152,0,52.0,1,24,1,78,8,0.77,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2572,0,27.0,0,172,0,217,10,1.4300000000000002,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51797,0,23.0,2,15,2,10,4,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56605,1,28.0,8,20,8,51,1,0.53,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
32867,0,57.0,54,69,54,249,36,2.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50443,0,50.0,5,71,5,136,5,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42188,1,29.0,1,12,1,31,4,0.06999999999999999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29143,1,37.0,4,17,4,145,11,1.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51263,1,30.0,16,69,16,151,8,1.3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2601,0,42.0,0,42,0,179,14,1.4300000000000002,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9454,1,25.0,16,23,16,76,14,0.5700000000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13207,1,22.0,0,0,0,111,11,1.3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43818,0,43.0,0,0,0,109,10,1.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
33990,0,33.0,49,56,49,263,7,1.9,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38562,0,35.0,1,70,1,260,20,2.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10006,0,27.0,10,93,10,154,24,1.13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
67144,1,23.0,1,3,1,0,0,0.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19296,1,30.0,0,0,0,226,21,2.2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
49950,0,19.0,0,0,0,219,8,2.3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22223,1,25.0,2,2,2,15,1,0.03,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42800,1,23.0,0,0,0,10,2,0.13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
12135,1,43.0,0,0,0,73,13,1.2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58742,0,26.0,6,10,6,5,3,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3148,0,24.0,6,163,6,290,44,2.23,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7130,0,20.0,0,5,0,15,2,0.1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
49735,1,26.0,0,0,0,8,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16514,0,26.0,0,0,0,206,22,2.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131,0,32.0,10,0,10,192,9,1.63,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16690,0,30.0,0,146,0,137,11,1.23,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54826,0,36.0,0,13,0,24,7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42814,1,36.0,0,4,0,158,34,0.9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
48148,1,22.0,0,17,0,49,2,0.74,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48511,1,30.0,4,0,4,10,0,0.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8593,0,26.0,0,0,0,141,3,2.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
45233,1,26.0,0,0,0,164,6,1.37,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7405,1,31.0,0,0,0,199,13,1.17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47074,1,36.0,60,120,60,291,27,2.23,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23353,0,36.0,10,92,10,189,7,1.63,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45357,0,45.0,0,26,0,49,12,0.65,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42881,0,31.0,11,34,11,51,17,0.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34395,0,48.0,0,0,0,229,36,2.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20848,0,21.0,0,46,0,118,5,1.5699999999999998,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
63704,1,26.0,1,2,1,0,0,0.43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3300,0,35.0,0,33,0,55,2,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10745,0,47.0,10,17,10,48,3,0.63,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
34485,0,36.0,14,18,14,77,7,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25822,1,29.0,1,12,1,81,8,0.53,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45279,1,41.0,0,0,0,232,13,2.77,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
34106,1,45.0,0,46,0,223,7,1.87,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4250,0,26.0,0,7,0,26,0,0.27,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
28978,1,26.0,0,48,0,197,40,1.37,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33578,0,25.0,0,12,0,212,5,1.9,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
23627,0,25.0,35,77,35,195,9,1.4300000000000002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
64202,1,36.0,0,9,0,19,0,0.03,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
67978,1,30.0,1,5,1,16,0,0.03,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3821,0,30.0,0,0,0,217,15,2.07,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12302,1,30.0,5,75,5,197,19,0.7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53068,0,31.0,0,4,0,17,1,0.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3856,0,43.0,0,0,0,101,30,0.73,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
43779,0,36.0,49,56,49,243,11,1.87,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49200,1,38.0,0,0,0,188,16,1.93,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51870,1,31.0,0,24,0,137,13,1.1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50692,0,28.0,5,101,5,146,19,0.7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
55317,0,50.0,0,0,0,11,0,0.43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53886,0,32.0,0,65,0,119,12,1.27,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1555,0,36.0,0,0,0,233,12,2.67,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45434,1,24.0,0,8,0,26,1,0.23,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42691,0,36.0,4,37,4,244,16,2.1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
52799,1,31.0,1,1,1,0,0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3562,0,41.0,0,0,0,192,10,1.83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47486,1,42.0,1,21,1,23,10,0.23,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24979,1,26.0,0,0,0,222,12,2.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5453,1,19.0,0,0,0,38,3,0.67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
42115,0,39.0,14,28,14,99,30,0.83,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41437,0,23.0,0,44,0,107,3,0.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21292,0,34.0,0,100,0,150,8,1.53,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
36891,0,29.0,14,68,14,242,20,1.97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27929,0,37.0,0,61,0,300,55,2.1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13791,0,30.0,0,62,0,177,9,1.4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
714,0,51.0,0,0,0,139,12,2.23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27496,1,32.0,0,0,0,181,4,1.97,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
29173,0,32.0,5,40,5,85,8,0.77,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21279,0,37.0,0,0,0,187,5,2.1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53947,0,33.0,0,54,0,155,5,1.37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5296,0,28.0,0,188,0,220,45,1.47,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
53017,1,25.0,0,0,0,75,12,0.83,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
67318,0,31.0,0,9,0,5,0,0.2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
11068,1,36.0,0,0,0,266,4,2.23,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
51939,0,22.0,0,8,0,12,2,0.16,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1606,1,51.0,0,0,0,149,8,1.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42262,0,38.0,44,75,44,137,17,2.27,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32970,0,27.0,0,84,0,182,14,1.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
11596,1,45.0,25,87,24,238,25,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10796,0,22.0,0,22,0,30,3,0.3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28650,1,27.0,1,0,1,28,0,0.5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
46135,1,24.0,0,0,0,3,0,0.06999999999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46234,0,23.0,0,8,0,21,7,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55299,0,35.0,0,0,0,213,22,1.97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8402,0,38.0,57,71,56,324,4,2.3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1175,1,36.0,1,13,1,59,6,0.87,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
26115,0,43.0,19,26,18,205,21,1.8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53722,1,19.0,0,32,0,167,13,1.3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
35241,0,56.0,3,127,3,284,69,2.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
